id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references
stack_kotlin,Language,Kotlin,Modern statically-typed language for Android; server; and multiplatform development.,Default for all new Android development. Required for Jetpack Compose.,Kotlin-specific patterns (coroutines; sealed classes; extensions) have learning curve from Java.,Android: Kotlin 2.1+ with K2 compiler. Built-in Kotlin in AGP 9.x (no plugin needed). KMM: shared modules.,kotlin android language k2 compiler coroutines sealed,Kotlin Official; Android Kotlin
stack_swift,Language,Swift,Apple's modern programming language for iOS; macOS; watchOS; and tvOS.,Default for all new Apple platform development. Required for SwiftUI.,Swift-only frameworks exclude Objective-C interop in some cases. ABI stability since Swift 5.,iOS: Swift 5.10+. Concurrency: async/await + actors. UI: SwiftUI or UIKit. Package manager: SPM.,swift ios language concurrency actor async await spm,Swift Official; Apple Developer
stack_java,Language,Java,Established JVM language with extensive Android ecosystem and library support.,Legacy Android projects; interop with existing Java libraries; enterprise backends.,Verbose compared to Kotlin; no coroutines; limited functional programming support.,Android: Java 21+ (supported in AGP 9.x). Gradle: Java or Kotlin DSL. Still supported but Kotlin preferred.,java android jvm legacy enterprise interop,Android Java Guide
stack_objective_c,Language,Objective-C,Apple's legacy programming language still used in many iOS codebases.,Maintaining legacy iOS projects; using C/C++ libraries with direct interop.,Dynamic typing; manual memory management patterns; shrinking community. Mix with Swift using bridging header.,iOS: Objective-C with ARC. Interop: Swift bridging header. Still in UIKit internals.,objective-c objc ios legacy bridging arc,Apple Objective-C Guide
stack_dart,Language,Dart,Google's language powering Flutter for cross-platform mobile development.,When building Flutter apps for iOS; Android; web; and desktop from one codebase.,Smaller ecosystem than Kotlin/Swift; hot reload is a major productivity advantage.,Flutter: Dart 3.3+ with sound null safety. Package manager: pub. Build: flutter build.,dart flutter language null safety hot reload pub,Dart Official; Flutter Dart
stack_compose,UI Framework,Jetpack Compose,Modern declarative UI toolkit for Android replacing XML layouts.,All new Android UI development. Existing apps migrating from View system.,Compose compiler stability; some missing View equivalents; learning curve for imperative devs.,Android: Compose BOM 2024.x+. Material 3 components. Compose Navigation.,jetpack compose declarative ui android material3 bom,Jetpack Compose; Material 3
stack_swiftui,UI Framework,SwiftUI,Apple's declarative UI framework for all Apple platforms.,New iOS 17+ projects or screens. Modernizing UIKit apps incrementally.,Limited backward compatibility; some UIKit features not yet available in SwiftUI.,iOS: SwiftUI with @Observable (iOS 17+) or Observation. NavigationStack. Charts framework.,swiftui declarative ui ios observable navigation,Apple SwiftUI
stack_uikit,UI Framework,UIKit,Imperative UI framework for iOS with full platform API access.,Legacy iOS projects; complex custom UI; or features not yet in SwiftUI.,Verbose; storyboard merge conflicts; manual layout code (SnapKit or NSLayoutConstraint).,iOS: UIKit with programmatic layout or Storyboards. UIHostingController for Compose integration.,uikit imperative ios storyboard layout constraint,Apple UIKit
stack_flutter,Cross-Platform,Flutter,Google's cross-platform UI toolkit using Dart and Skia rendering engine.,When maximum code sharing across iOS; Android; web; and desktop is needed.,Custom rendering means no native look-and-feel; platform plugin quality varies.,Flutter: Dart 3.3 + Material 3 or Cupertino widgets. State: BLoC; Riverpod; or Provider.,flutter cross platform dart skia material cupertino,Flutter Official
stack_kmm,Cross-Platform,Kotlin Multiplatform (KMM),Share Kotlin business logic between Android and iOS with native UI.,When you want shared domain/data layers but native UI per platform.,iOS interop requires SKIE or manual wrappers; Swift/Kotlin bridging complexity.,KMM: shared module (commonMain/androidMain/iosMain). Networking: Ktor. DB: SQLDelight. DI: Koin.,kotlin multiplatform kmm kmp shared skie ktor,Kotlin Multiplatform Docs
