id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references
platform_api_camera,Hardware,Camera & Photo Capture,Access device camera for photo/video capture with preview and processing.,When app needs to capture photos; scan QR codes; or record video.,Permission handling is complex; must handle denial gracefully. Camera2 API is low-level.,Android: CameraX (recommended) or Camera2. iOS: AVFoundation or UIImagePickerController. Compose: CameraX integration.,camera photo video capture camerax avfoundation,Android CameraX; Apple AVFoundation
platform_api_location,Sensors,Location & Geofencing,Access GPS and network location with foreground and background tracking.,When app needs user location for maps; delivery tracking; or proximity features.,Battery drain from continuous location; background location requires extra permissions.,Android: FusedLocationProvider + Geofencing API. iOS: CLLocationManager + CLCircularRegion. Always check permissions.,location gps geofencing fused clocationmanager background,Android Location; Apple CoreLocation
platform_api_notifications,Messaging,Push Notifications (FCM/APNs),Receive and display remote push notifications for user engagement.,When app needs real-time alerts; marketing messages; or transactional notifications.,Notification fatigue leads to opt-out; must provide value. Token refresh handling.,Android: FCM + NotificationChannel. iOS: APNs + UNUserNotificationCenter. KMM: expect/actual for token.,push notification fcm apns token channel,Firebase FCM; Apple APNs
platform_api_biometric,Security,Biometric Authentication,Use fingerprint; face recognition; or iris scan for secure authentication.,When app needs secure local authentication beyond PIN/password.,Fallback required for devices without biometrics; enrollment state changes.,Android: BiometricPrompt API. iOS: LAContext (LocalAuthentication). Handle canEvaluatePolicy errors.,biometric fingerprint face id touch id authentication,Android BiometricPrompt; Apple LocalAuthentication
platform_api_storage,Persistence,File & Shared Preferences Storage,Store key-value pairs and files locally on device.,When persisting user preferences; tokens; or small cached data.,SharedPreferences/UserDefaults are not encrypted by default; use EncryptedSharedPreferences for secrets.,Android: DataStore (Proto/Preferences) replaces SharedPreferences. iOS: UserDefaults + Keychain for secrets.,storage preferences datastore userdefaults keychain file,Android DataStore; Apple Keychain
platform_api_permissions,System,Runtime Permission Handling,Request and manage dangerous permissions at runtime with rationale dialogs.,Always when accessing camera; location; contacts; or other protected resources.,Users can deny permanently; must handle shouldShowRationale and Settings redirect.,Android: ActivityResultContracts.RequestPermission. iOS: Info.plist + authorization APIs. Compose: rememberLauncherForActivityResult.,permission runtime request rationale settings,Android Permissions; Apple Privacy
platform_api_bluetooth,Connectivity,Bluetooth LE (BLE),Communicate with BLE peripherals (wearables; IoT sensors; beacons).,When app connects to external hardware via Bluetooth Low Energy.,Connection management is complex; many edge cases (timeouts; disconnects; MTU negotiation).,Android: BluetoothLeScanner + BluetoothGatt. iOS: CoreBluetooth (CBCentralManager). Handle background scanning limits.,bluetooth ble peripheral central scan connect gatt,Android BLE; Apple CoreBluetooth
platform_api_widgets,Home Screen,Home Screen Widgets,Display app content on the home screen without opening the app.,When providing at-a-glance information (weather; calendar; fitness stats).,Size constraints; limited interactivity; platform-specific APIs.,Android: Glance (Compose for widgets) or RemoteViews. iOS: WidgetKit + SwiftUI. Update via timeline.,widget home screen glance widgetkit remoteviews,Android Glance; Apple WidgetKit
platform_api_share,Interaction,Share & Intents,Share content to other apps or receive content from other apps.,When users need to share text; images; or files across apps.,Deep customization of share sheet is limited on both platforms.,Android: Intent.ACTION_SEND + ShareCompat. iOS: UIActivityViewController. Share extensions for receiving.,share intent action send activity controller,Android Intents; Apple UIActivityViewController
platform_api_in_app_purchase,Monetization,In-App Purchases & Subscriptions,Integrate app store billing for consumables; non-consumables; and subscriptions.,When monetizing through paid features; premium content; or subscriptions.,Platform commission (15-30%); receipt validation is critical for fraud prevention.,Android: Google Play Billing Library 6+. iOS: StoreKit 2. Always validate receipts server-side.,in app purchase billing subscription storekit,Google Play Billing; Apple StoreKit 2
platform_api_accessibility,Inclusion,Accessibility APIs,Expose UI semantics for screen readers; switch control; and assistive technologies.,Always; for all public apps. Required by law in many jurisdictions.,Increases testing scope; custom views need manual semantics annotation.,Android: contentDescription + Compose semantics. iOS: accessibilityLabel + accessibilityTraits. Test with TalkBack/VoiceOver.,accessibility talkback voiceover semantics a11y,WCAG 2.1; Android A11y; Apple A11y
platform_api_deep_link,Entry,App Links / Universal Links,Handle URLs that open specific screens in your app directly.,When enabling web-to-app navigation; marketing links; or push notification deep links.,Must verify domain ownership; handle fallback for uninstalled app.,Android: App Links (verified) + intent-filter. iOS: Universal Links (apple-app-site-association). Both need HTTPS.,app link universal link deep link url domain,Android App Links; Apple Universal Links
