id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references
nav_stack,Screen Navigation,Stack Navigation,Push/pop screen hierarchy for drill-down flows (master-detail).,When users navigate deeper into content then back (list → detail → edit).,Deep stacks consume memory; consider popping to root for reset.,Android: NavController + NavGraph. iOS: UINavigationController. Compose: NavHost. SwiftUI: NavigationStack.,stack navigation push pop navcontroller navhost,Android Developers; Apple UIKit
nav_tab,Top-Level,Tab Navigation,Parallel top-level destinations accessible via bottom or top tabs.,When app has 3-5 co-equal sections (Home; Search; Profile; Settings).,Each tab maintains its own back stack; state restoration is complex.,Android: BottomNavigationView + NavGraph per tab. iOS: UITabBarController. Compose: NavHost per tab.,tab navigation bottom parallel sections,Material Design 3; Apple HIG
nav_drawer,Top-Level,Drawer / Side Menu,Slide-out panel listing navigation destinations for content-heavy apps.,When app has 6+ top-level sections or secondary navigation items.,Hidden by default so discoverability is lower; hamburger menu debate.,Android: ModalNavigationDrawer (Compose). iOS: custom or UISplitViewController. Flutter: Drawer.,drawer side menu hamburger navigation panel,Material Design 3
nav_deeplink,Entry Point,Deep Linking,URL-based navigation to specific screens from outside the app (notifications; web).,When users need to reach specific content from push notifications; emails; or web links.,Must handle missing auth state and invalid links gracefully; test all edge cases.,Android: intent-filter + NavDeepLink. iOS: Universal Links + UIApplicationDelegate. Flutter: go_router.,deep link url intent universal link routing,Android Developers; Apple Developer
nav_modal,Overlay,Modal / Full-Screen Dialog,Overlay or full-screen transition for self-contained tasks (compose; create).,When a flow is independent from the main navigation and should be dismissible.,Must handle back gestures; swipe-to-dismiss; and state preservation on dismiss.,Android: DialogFragment / FullScreenDialog. iOS: present modally. Compose: Dialog or full-screen NavHost.,modal dialog fullscreen present overlay dismiss,Material Design 3; Apple HIG
nav_args,Data Passing,Navigation Arguments / Safe Args,Type-safe mechanism for passing data between screens during navigation.,When destination screens require parameters (IDs; filter criteria; initial state).,Avoid passing large objects; use IDs and fetch from repository. Parcelize for Android.,Android: Safe Args plugin or SavedStateHandle. iOS: init parameters. Compose: NavType. SwiftUI: init.,safe args navigation arguments parameters passing data,Android Developers
nav_back,Gesture,Predictive Back / Swipe Back,System or custom gesture for navigating backward with animation preview.,When supporting modern back navigation patterns (Android 14+ predictive back).,Must handle unsaved changes confirmation; animation must be interruptible.,Android: OnBackPressedCallback + predictive back API. iOS: interactivePopGestureRecognizer. Compose: BackHandler.,back gesture swipe predictive navigation pop,Android 14; Apple HIG
nav_tabs_nested,Hierarchy,Nested Navigation Graphs,Sub-graphs within a navigation graph for feature-module isolation.,When using modular architecture where each feature module owns its nav graph.,Inter-module navigation requires shared route contracts; avoid circular deps.,Android: nested NavGraph. iOS: child UINavigationController. Compose: nested NavHost. KMM: shared routes.,nested graph module navigation subgraph feature,Android Developers; Kotlin Multiplatform
nav_auth_flow,Conditional,Auth-Gated Navigation,Redirect to login screen when unauthenticated user accesses protected content.,When app has both public and authenticated sections.,Must clear back stack after login to prevent back-to-login; handle token expiry.,Android: conditional NavGraph start. iOS: root view controller swap. Compose: conditional start destination.,auth login gate protected redirect navigation,OWASP Mobile
nav_result,Data Return,Navigation Result / Callback,Mechanism for receiving data back from a destination screen.,When a child screen produces a result for the parent (photo picker; address selection).,Lifecycle-aware result APIs prevent memory leaks; avoid static callbacks.,Android: savedStateHandle result. iOS: delegate or closure. Compose: previousBackStackEntry. SwiftUI: Binding.,result callback return data navigation back,Android Developers
nav_animation,Transition,Screen Transition Animations,Custom enter/exit animations between navigation destinations.,When default transitions don't match the app's design language or branding.,Keep animations under 300ms; respect reduced motion accessibility setting.,Android: AnimatedNavHost or Transition API. iOS: UIViewControllerTransitioningDelegate. SwiftUI: transition modifier.,animation transition enter exit navigation motion,Material Motion; Apple HIG
nav_bottom_sheet_nav,Overlay,Navigable Bottom Sheet,Bottom sheet that contains its own navigation stack for multi-step flows.,When a secondary flow (checkout; filter wizard) should stay in a sheet overlay.,Complex state management; must handle sheet dismissal at any step.,Android: BottomSheetScaffold + nested NavHost. iOS: UISheetPresentationController + child nav. Flutter: nested Navigator.,bottom sheet navigation nested flow overlay wizard,Material Design 3
