id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references
perf_startup,Launch,App Startup Optimization,Reduce cold start time by deferring initialization and using baseline profiles.,When cold start exceeds 500ms or users abandon before first frame.,Deferred init can cause runtime delays on first use of those features.,Android: App Startup library + Baseline Profiles + R8 optimization. iOS: reduce didFinishLaunching work; pre-warm caches.,startup cold warm launch time baseline profile,Android App Startup; Apple Launch Guide
perf_memory,Resource,Memory Management & Leak Prevention,Monitor and reduce memory footprint to prevent OOM crashes and jank.,Always; especially on low-end devices with 2-3GB RAM.,Aggressive cleanup can cause re-creation overhead.,Android: LeakCanary + weak references + lifecycle-aware cleanup. iOS: Instruments Allocations + weak/unowned. KMM: careful with captured lambdas.,memory leak oom leakcanary instruments allocation,Android Memory Guide; Apple Instruments
perf_rendering,UI,Frame Rate & Rendering Performance,Maintain 60fps (16ms frame budget) or 120fps on high-refresh displays.,When UI shows jank; dropped frames; or animation stuttering.,Profiling overhead in debug builds can mask real performance characteristics.,Android: GPU Profiler + Layout Inspector + recomposition counter. iOS: Core Animation instrument. Compose: avoid unnecessary recompositions.,frame rate fps jank rendering recomposition overdraw,Android Performance; Apple Core Animation
perf_network,Data,Network Efficiency,Minimize data transfer; reduce round trips; and implement smart caching.,When app makes frequent API calls; loads media; or operates on metered connections.,Aggressive caching can show stale data; compression adds CPU overhead.,HTTP caching (ETag/Last-Modified). Image: Coil/Glide (Android); Kingfisher (iOS). Batch API calls. gzip/brotli compression.,network caching http image coil glide kingfisher,HTTP Caching RFC; OkHttp
perf_battery,Resource,Battery Optimization,Reduce background processing and wake locks to extend battery life.,When app performs background sync; location tracking; or periodic updates.,Less frequent updates mean less fresh data; must balance UX vs battery.,Android: WorkManager (not AlarmManager). iOS: BGTaskScheduler. Avoid wake locks. Batch background work.,battery drain background wakelock workmanager doze,Android Battery Guide; Apple Energy Guide
perf_image,Media,Image Loading & Memory,Efficiently load; cache; decode; and display images at appropriate resolutions.,When app displays user-generated images; product photos; or media feeds.,Downsampling saves memory but can show blurry images if threshold is wrong.,Android: Coil (Compose-first) or Glide. iOS: Kingfisher or Nuke. Always specify size constraints. WebP/AVIF format.,image loading cache coil glide kingfisher nuke webp,Coil Docs; Glide Docs
perf_compose,Compose,Compose Performance,Optimize Jetpack Compose recomposition to avoid unnecessary UI updates.,When using Jetpack Compose or Compose Multiplatform for UI.,Stability rules are non-obvious; immutable data classes can help.,Use @Stable/@Immutable annotations. Avoid unstable lambdas in LazyColumn items. derivedStateOf for computed values. Use key() in lists.,compose recomposition stable immutable derivedstateof lazy,Jetpack Compose Performance
perf_proguard,Build,Code Shrinking & Obfuscation,Remove unused code and obfuscate to reduce APK/IPA size and protect IP.,When preparing release builds for production deployment.,Aggressive shrinking can remove needed code; thorough testing of release builds required.,Android: R8 (ProGuard replacement) with keep rules. iOS: Bitcode + Swift symbol stripping. Both: tree shaking.,proguard r8 shrink obfuscate apk size strip,Android R8; Apple Build Settings
perf_database,Storage,Local Database Performance,Optimize queries; indexing; and schema for fast local data operations.,When app uses Room/CoreData/SQLDelight with complex queries or large datasets.,Over-indexing increases write time and storage; analyze query plans.,Index frequently queried columns. Use @Transaction for batch operations. Avoid main-thread queries. Enable WAL mode.,database room coredata sqldelight query index performance,Room Guide; CoreData Performance
perf_animation,Motion,Animation Performance,Maintain smooth animations without frame drops or visual artifacts.,When implementing custom transitions; shared element animations; or complex motion.,Complex animations can be CPU/GPU intensive; test on low-end devices.,Android: Compose animation APIs with animateAsState. iOS: Core Animation with CATransaction. Keep under 300ms. Use hardware layers.,animation motion frame drop transition smooth performance,Material Motion; Apple Animation
perf_startup_trace,Profiling,Startup Tracing & Metrics,Measure and monitor app startup time with structured traces and benchmarks.,When optimizing startup or setting up continuous performance monitoring.,Instrumentation overhead in debug; use release-mode benchmarks for accuracy.,Android: Macrobenchmark + Perfetto traces. iOS: MetricKit + os_signpost. Firebase Performance Monitoring.,startup trace benchmark perfetto macrobenchmark metrickit,Android Benchmarking; Apple MetricKit
perf_lazy,Deferred,Lazy Initialization,Defer object creation until first use to reduce startup cost and memory.,When heavy objects (databases; analytics; SDKs) are not needed immediately.,First-use latency spike; thread safety considerations for lazy singletons.,Kotlin: by lazy { }. Swift: lazy var. Android: App Startup InitializerProvider. Avoid lazy on hot paths.,lazy initialization deferred startup singleton,Kotlin Lazy; Swift Lazy Properties
perf_gradle_daemon,Build,Gradle Build Performance & Cleanup,Manage the Gradle Daemon and IDE caches to ensure clean and fast builds.,When experiencing inexplicable build errors or slow incremental builds.,Stopping daemon slows down next build; invalidating caches requires re-indexing.,Run ./gradlew --stop to kill stale daemons. Use File > Invalidate Caches in Android Studio. Delete .gradle/ and build/ folders.,gradle daemon stop invalidate cache build cleanup,Gradle Performance Guide
