id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references
ui_nav_bar,Navigation,Bottom Navigation Bar,Tab-based navigation pinned to the bottom of the screen for top-level destinations.,When your app has 3-5 top-level sections that users need to switch between frequently.,Easy thumb reach on large screens but consumes vertical space; limited to 5 tabs max.,iOS: UITabBarController. Android: BottomNavigationView with NavigationComponent. Flutter: BottomNavigationBar. SwiftUI: TabView.,navigation bottom tab bar uitabbar bottomnavigationview tabview,Material Design 3; Apple HIG
ui_list,Content Display,Lazy List / RecyclerView,Efficiently renders large scrollable lists by recycling off-screen views.,When displaying homogeneous or heterogeneous collections of data (feeds; contacts; settings).,Memory efficient but complex diffing logic; nested scroll conflicts possible.,Android: RecyclerView + ListAdapter + DiffUtil. iOS: UICollectionView + DiffableDataSource. Compose: LazyColumn. SwiftUI: List.,recyclerview lazycolumn uicollectionview list lazy scroll,Android Developers; Apple UIKit
ui_modal,Overlay,Bottom Sheet / Modal,Slide-up overlay panel for contextual actions or detail views without full navigation.,When showing secondary content or quick actions that don't warrant a full screen.,Gesture conflicts with scrollable content inside; accessibility focus trap required.,Android: BottomSheetDialogFragment or ModalBottomSheet (Compose). iOS: UISheetPresentationController. Flutter: showModalBottomSheet.,bottom sheet modal overlay dialog presentation,Material Design 3; Apple HIG
ui_form,Input,Form & Text Fields,Structured input collection with validation; labels; error states; and keyboard management.,When collecting user data (login; registration; settings; checkout).,Must handle keyboard avoidance; focus traversal; and real-time validation.,Android: TextInputLayout (MDC) or TextField (Compose). iOS: UITextField with UITextFieldDelegate. SwiftUI: TextField + @FocusState.,form textfield input validation keyboard,Material Design 3; Apple HIG
ui_card,Content Display,Card Component,Elevated surface container for grouping related information with optional media.,When displaying distinct content units in a feed or grid (products; articles; profiles).,Elevation and shadow rendering can be expensive; watch overdraw on Android.,Android: MaterialCardView or Card (Compose). iOS: custom UIView with cornerRadius + shadow. SwiftUI: GroupBox or custom.,card surface elevation shadow material,Material Design 3; Apple HIG
ui_toolbar,Navigation,Top App Bar / Toolbar,Header bar with title; navigation icon; and action buttons.,When a screen needs a title; back button; or contextual actions.,Collapsing toolbar adds complexity; coordinate with scroll behavior.,Android: TopAppBar (Compose) or MaterialToolbar. iOS: UINavigationBar. SwiftUI: NavigationStack + toolbar modifier.,toolbar appbar navigation header topbar,Material Design 3; Apple HIG
ui_snackbar,Feedback,Snackbar / Toast,Brief non-blocking message at the bottom of the screen with optional action.,When providing lightweight feedback after a user action (saved; deleted; undo).,Don't stack multiple snackbars; ensure accessibility announcements.,Android: Snackbar (MDC). iOS: custom or SPM packages (no native equivalent). SwiftUI: custom overlay.,snackbar toast feedback notification brief,Material Design 3
ui_fab,Action,Floating Action Button,Prominent circular button for the primary action on a screen.,When there is one clear primary action per screen (compose; add; create).,Only one FAB per screen; avoid if no clear primary action exists.,Android: FloatingActionButton or ExtendedFloatingActionButton. iOS: custom (not in HIG natively). Compose: FloatingActionButton.,fab floating action button primary,Material Design 3
ui_chip,Selection,Chip / Tag,Compact interactive element for filters; selections; or attribute display.,When users need to select filters; tags; or categories inline.,Don't overload with too many chips; ensure touch target is at least 48dp.,Android: Chip (MDC) or FilterChip (Compose). iOS: custom capsule buttons. SwiftUI: custom.,chip tag filter selection capsule,Material Design 3
ui_skeleton,Loading,Skeleton Screen / Shimmer,Placeholder UI that mimics content layout while data is loading.,When content takes more than 300ms to load and you want to avoid spinner fatigue.,Must match actual content layout; avoid shimmer on very small elements.,Android: Shimmer library (Facebook) or custom Compose. iOS: custom CAGradientLayer animation. Flutter: shimmer package.,skeleton shimmer loading placeholder content,UX Best Practices
ui_empty,State,Empty State View,Informative placeholder shown when a list or screen has no data.,When collections are empty (no results; no history; first-time use).,Include actionable CTA; avoid generic messages like 'No data'.,All platforms: custom composite view with icon + message + button.,empty state placeholder no data zero,Material Design 3; Apple HIG
ui_pull_refresh,Interaction,Pull-to-Refresh,Swipe-down gesture to trigger a content reload from the top of a scrollable area.,When content can become stale and users expect manual refresh (feeds; inboxes).,Must indicate loading state; disable during active refresh; handle error state.,Android: SwipeRefreshLayout or pullRefresh (Compose). iOS: UIRefreshControl. SwiftUI: refreshable modifier.,pull refresh swipe reload gesture,Material Design 3; Apple HIG
ui_search,Input,Search Bar / Search View,Persistent or expandable text input for filtering or querying content.,When users need to find specific items in a large dataset.,Debounce input to avoid excessive queries; show recent searches.,Android: SearchView or SearchBar (M3). iOS: UISearchController. SwiftUI: searchable modifier.,search bar query filter find,Material Design 3; Apple HIG
ui_segmented,Selection,Segmented Control / Tab Row,Horizontal set of mutually exclusive options for switching views or filters.,When toggling between 2-5 related views or filter modes.,Not suitable for more than 5 segments; each label should be short.,Android: TabRow (Compose) or TabLayout. iOS: UISegmentedControl. SwiftUI: Picker with segmented style.,segmented control tab toggle switch picker,Material Design 3; Apple HIG
