id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references
state_viewmodel,Lifecycle,ViewModel State Preservation,Retain UI state across configuration changes using lifecycle-aware ViewModel.,Android: always. iOS: for complex screens. Any screen with async loading.,ViewModel survives rotation but not process death; use SavedStateHandle for persistence.,Android: ViewModel + SavedStateHandle. iOS: ObservableObject retained by View. Compose: rememberSaveable.,viewmodel state configuration change lifecycle savedstatehandle,Android ViewModel; Apple ObservableObject
state_flow,Reactive,StateFlow / State Observation,Emit UI state as an observable stream from ViewModel to View.,When UI needs to reactively update based on data or user action changes.,Cold vs hot stream semantics matter; StateFlow replays last value.,Android: StateFlow + collectAsState(). iOS: @Published + Combine. KMM: StateFlow with native wrapper.,stateflow livedata published combine observe reactive,Kotlin StateFlow; Apple Combine
state_side_effect,Event,Side Effects / One-Shot Events,Non-state events that should be consumed exactly once (navigation; snackbar; error toast).,When an action triggers a transient effect that should not replay on recomposition.,SharedFlow vs Channel debate; avoid putting events in StateFlow (replays on rotation).,Android: Channel or SharedFlow(replay=0). iOS: PassthroughSubject. Compose: LaunchedEffect.,side effect event channel sharedflow passthrough oneshot,Android Side Effects Guide
state_paging,Pagination,Paging / Infinite Scroll State,Manage paginated data loading with load states (loading; error; empty; loaded).,When displaying server-paginated content (feeds; search results; catalogs).,Complex error recovery per page; placeholder item management.,Android: Paging 3 library. iOS: custom with AsyncSequence. Compose: LazyPagingItems. Flutter: infinite_scroll_pagination.,paging pagination infinite scroll load more cursor offset,Android Paging 3
state_form,Input,Form State Management,Track field values; validation errors; dirty/pristine state; and submission status.,When collecting multi-field user input with real-time validation.,Must handle focus changes; keyboard actions; and field interdependencies.,Android: custom state class or form libraries. iOS: @FocusState + validation. Compose: state per field or form state holder.,form state validation field dirty pristine submit,Material Design 3
state_loading,Async,Loading / Error / Success Pattern,Sealed class or enum representing async operation states.,When any screen loads data from network or database asynchronously.,Boilerplate for simple screens; consider a generic Result wrapper.,Android: sealed class UiState<T> { Loading; Success(data); Error(message) }. iOS: enum LoadingState. KMM: shared.,loading error success sealed class uistate async result,Android Architecture Guide
state_process_death,Persistence,Process Death Restoration,Restore state after Android kills the process in the background.,Android: always consider for critical user input screens. iOS: not applicable (different lifecycle).,SavedStateHandle has size limits; persist large data to DB instead.,Android: SavedStateHandle + rememberSaveable. Bundle limit ~500KB. For complex state; use Room cache.,process death savedstatehandle bundle restore persist,Android Process Death Guide
state_shared,Cross-Screen,Shared State Between Screens,State that multiple screens need to read/write (cart; auth; user profile).,When the same data is displayed or modified across multiple navigation destinations.,Avoid global mutable state; use scoped ViewModels or DI-provided state holders.,Android: activityViewModels() or shared DI scope. iOS: @EnvironmentObject. Compose: shared ViewModel scope.,shared state global cross screen activity environment,Android Architecture Guide
state_undo,History,Undo / Redo State Stack,Maintain a stack of previous states to allow reversing user actions.,When user performs destructive or creative actions (text editing; drawing; reordering).,Memory grows with history depth; must define a reasonable max stack size.,Implement command pattern or state snapshot list. Limit to 20-50 entries.,undo redo history stack command pattern state,UX Best Practices
state_offline_sync,Sync,Offline Queue & Sync State,Queue mutations while offline and synchronize when connectivity returns.,When app must support offline writes (forms; messages; field data collection).,Conflict resolution is complex; must handle partial sync failures.,Android: WorkManager + Room queue. iOS: BackgroundTasks + CoreData. KMM: SQLDelight + ktor retry.,offline sync queue workmanager background conflict,Android WorkManager; Apple BackgroundTasks
state_refresh,Invalidation,Cache Invalidation & Refresh,Strategy for invalidating stale cached data and triggering fresh loads.,When cached data has a TTL or can be invalidated by server-side changes.,Aggressive invalidation wastes bandwidth; lazy invalidation shows stale data.,timestamp-based TTL; server push (WebSocket/FCM); manual pull-to-refresh; ETag/Last-Modified headers.,cache invalidation refresh ttl etag stale data,HTTP Caching; Android Cache Guide
state_multiplatform,KMM,Shared State in KMM,Share ViewModel or state holder logic across Android and iOS via Kotlin Multiplatform.,When using KMM and want consistent state management across platforms.,iOS needs wrapper around Kotlin StateFlow; lifecycle management differs.,KMM-ViewModel library or custom expect/actual. SKIE for Swift-friendly Flow.,kmm shared viewmodel state multiplatform skie flow,KMM ViewModel; SKIE
