id,severity,name,bad_example,why_bad,good_example,keywords,references
anti_main_thread_network,CRITICAL,Network Call on Main Thread,Calling retrofit.execute() or URLSession.dataTask synchronously on the main thread.,Blocks the UI thread causing ANR (Android) or frozen UI (iOS). Unresponsive for >5s triggers system kill.,Use suspend functions with Dispatchers.IO (Android) or async/await (Swift) for all network calls.,main thread anr network block ui freeze,Android StrictMode; Apple Threading
anti_no_error_handling,CRITICAL,Missing Network Error Handling,try { api.getData() } catch(e: Exception) { /* empty */ } — silently swallowing errors.,Users see blank screens with no feedback. Impossible to diagnose production issues.,Show error state UI; implement retry mechanism; log to crash reporting. Use sealed class Result<T>.,error handling silent catch empty network,Android Error Handling Guide
anti_hardcoded_url,CRITICAL,Hardcoded API URLs in Source Code,val BASE_URL = 'https://api.production.com' directly in source file.,Cannot switch between dev/staging/prod without rebuilding. Secrets in version control.,Use BuildConfig fields (Android) or xcconfig (iOS). Inject via build flavors/schemes.,hardcoded url api secret buildconfig xcconfig,OWASP Mobile Top 10
anti_no_offline,HIGH,No Offline Support,Always fetching from network with no local cache or error state for no connectivity.,App becomes unusable without internet. Users in poor connectivity areas cannot use core features.,Implement repository pattern with local-first strategy. Show cached data with staleness indicator.,offline cache network unavailable local first,Offline-First Architecture
anti_memory_leak_listener,HIGH,Leaked Listeners & Callbacks,Registering broadcast receiver in onCreate but never unregistering in onDestroy.,Memory leak grows with each configuration change. Eventually causes OOM crash.,Register in onStart/onResume and unregister in onStop/onPause. Use lifecycle-aware components.,memory leak listener callback register unregister lifecycle,Android Lifecycle; LeakCanary
anti_god_activity,HIGH,God Activity / God ViewController,Single Activity with 3000+ lines handling UI; networking; database; and navigation.,Untestable; impossible to maintain; violates single responsibility principle.,Extract into ViewModel + Repository + UseCase. Each class under 300 lines. Apply Clean Architecture.,god activity viewcontroller monolith srp,Clean Architecture
anti_no_proguard,HIGH,Missing ProGuard/R8 in Release Build,Publishing release APK without code shrinking or obfuscation enabled.,Larger APK size; exposed source code; easier to reverse engineer.,Enable minifyEnabled and shrinkResources in release buildType. Add keep rules for reflection.,proguard r8 minify shrink obfuscate release,Android R8 Guide
anti_ignore_lifecycle,HIGH,Ignoring Activity/Fragment Lifecycle,Starting coroutines in Activity without lifecycle scope or cancellation.,Coroutines continue after Activity is destroyed causing crashes or wasted resources.,Use lifecycleScope or viewModelScope. Collect flows in repeatOnLifecycle(STARTED).,lifecycle coroutine scope cancel activity fragment,Android Lifecycle Guide
anti_no_accessibility,HIGH,Missing Accessibility Support,ImageButton without contentDescription. Custom view without semantics.,Excludes users with disabilities. Fails WCAG compliance. App store rejection risk.,Add contentDescription to all images. Use Compose semantics. Test with TalkBack/VoiceOver.,accessibility a11y contentdescription talkback voiceover,WCAG 2.1; Android A11y
anti_unsafe_storage,CRITICAL,Storing Secrets in SharedPreferences,Saving JWT tokens or passwords in plain-text SharedPreferences/UserDefaults.,Readable by any rooted device or backup extraction. Major security vulnerability.,Android: EncryptedSharedPreferences or DataStore + EncryptedFile. iOS: Keychain Services.,security storage secrets keychain encrypted preferences,OWASP Mobile Top 10
anti_no_input_validation,HIGH,No Client-Side Input Validation,Accepting any text in form fields without validation before submission.,SQL injection via backend; XSS if content is displayed; wasted API calls with invalid data.,Validate email format; password strength; phone number pattern. Sanitize before display.,input validation form sanitize xss injection,OWASP Input Validation
anti_blocking_animation,MEDIUM,Blocking Animation on Main Thread,Running complex animation calculations synchronously on the main thread.,Frame drops; jank; poor UX. Especially visible on 120Hz displays.,Use withFrameNanos (Compose) or CADisplayLink (iOS). Offload heavy math to background.,animation frame drop jank main thread blocking,Android Animation; Apple Core Animation
anti_no_loading_state,MEDIUM,No Loading State Indicator,Fetching data without showing loading indicator to the user.,User thinks app is broken or frozen. Taps repeatedly causing duplicate requests.,Show skeleton screens or progress indicators. Disable action buttons during loading.,loading state indicator progress skeleton ux,Material Design 3 Progress
