id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references
arch_mvvm,Presentation,MVVM (Model-View-ViewModel),Separates UI state from business logic using observable view models.,Default architecture for modern Android (Compose/XML) and iOS (SwiftUI/UIKit).,Boilerplate for simple screens; ViewModel can become a god object if not scoped.,Android: ViewModel + StateFlow/LiveData. iOS: ObservableObject + @Published. KMM: shared ViewModel.,mvvm viewmodel stateflow livedata observableobject,Android Architecture Guide; Apple MVVM
arch_mvi,Presentation,MVI (Model-View-Intent),Unidirectional data flow with immutable state and explicit user intents.,When you need predictable state management and time-travel debugging.,Higher learning curve; more boilerplate for simple CRUD screens.,Android: Orbit MVI or custom reducer. iOS: TCA (The Composable Architecture). KMM: shared state machine.,mvi intent reducer unidirectional state composable architecture,Orbit MVI; TCA
arch_clean,Layered,Clean Architecture,Concentric layers (domain → data → presentation) with dependency inversion.,When building large apps requiring testability and independent layer evolution.,Over-engineering for small apps; many interface layers add complexity.,Domain layer (use cases) → Repository interfaces → Data sources. All platforms share the pattern.,clean architecture layers domain usecase repository,Clean Architecture (Robert C. Martin)
arch_modular,Organization,Multi-Module / Feature Modules,Split app into independent Gradle/Xcode modules per feature for build speed and isolation.,When build times exceed 2 minutes or team has 3+ developers working in parallel.,Module dependency management is complex; shared resources need a core module.,Android: Gradle modules (`:feature:home`). iOS: SPM or Xcode frameworks. KMM: shared + platform modules.,module feature gradle spm framework multimodule,Android Modularization Guide
arch_repository,Data Access,Repository Pattern,Abstraction layer that mediates between domain and data sources (network + cache).,Always use when the app fetches data from network or local database.,Can mask data source errors if not propagated correctly.,Interface in domain layer; implementation in data layer. Inject via DI (Hilt/Koin/Swinject).,repository data source cache network abstraction,Android Architecture Guide
arch_di,Dependency,Dependency Injection,Provide dependencies externally rather than creating them inside classes.,Always use for testable and modular code; required in Clean Architecture.,Framework overhead (Hilt annotation processing). Manual DI is simpler for small apps.,Android: Hilt or Koin. iOS: Swinject or manual. KMM: Koin (multiplatform). Flutter: get_it + injectable.,dependency injection hilt koin swinject getit,Dagger Hilt; Koin
arch_coordinator,Navigation,Coordinator / Router Pattern,Centralized navigation logic separate from view controllers or composables.,When navigation logic is complex and should be testable independently.,Adds indirection; can conflict with platform navigation components.,iOS: Coordinator protocol + UINavigationController. Android: custom Router class. Compose: NavHost wrapper.,coordinator router navigation pattern flow,iOS Coordinator Pattern
arch_offline_first,Data Strategy,Offline-First Architecture,Local database is the single source of truth; network syncs in background.,When app must work without connectivity (field apps; travel; emerging markets).,Conflict resolution is hard; increases storage requirements.,Room/SQLDelight as SSoT → WorkManager/BackgroundTasks for sync → conflict resolution strategy.,offline first local database sync workmanager room sqldelight,Android Offline Guide
arch_reactive,Data Flow,Reactive Streams Architecture,Observe data changes through reactive streams from database to UI.,When UI must reflect real-time data changes without manual refresh.,Stream lifecycle management is critical; unmanaged streams cause leaks.,Android: Flow/StateFlow. iOS: Combine/AsyncSequence. KMM: kotlinx.coroutines.flow. Flutter: StreamBuilder.,reactive flow combine stream observe stateflow,Kotlin Coroutines; Apple Combine
arch_kmm,Cross-Platform,Kotlin Multiplatform (KMM),Share Kotlin business logic across Android; iOS; desktop; and web.,When you want shared domain/data layers with native UI per platform.,iOS interop requires careful nullability handling; Swift/Kotlin bridging overhead.,Shared module: domain + data + networking. Platform modules: native UI. expect/actual for platform APIs.,kotlin multiplatform kmm kmp shared ios android,Kotlin Multiplatform Docs
arch_compose_mp,Cross-Platform,Compose Multiplatform,Share Jetpack Compose UI code across Android; iOS; desktop; and web.,When you want maximum code sharing including the UI layer.,iOS support is maturing; some platform-specific UI may still need native code.,Shared: @Composable UI + ViewModel. Platform: expect/actual for sensors; camera; permissions.,compose multiplatform cmp ui shared cross platform,JetBrains Compose Multiplatform
arch_swift_ui,iOS Native,SwiftUI + Swift Concurrency,Modern declarative UI with structured concurrency for iOS/macOS/watchOS.,When building new iOS projects or modernizing existing UIKit codebases.,Not all UIKit features are available; backward compatibility limits (iOS 16+).,@Observable (iOS 17+) or ObservableObject. async/await for networking. NavigationStack for nav.,swiftui swift concurrency async await observable ios,Apple SwiftUI; Swift Concurrency
