id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references
publish_playstore,Android,Google Play Store Publishing,Build release APK/AAB and publish to Google Play Console.,When releasing Android app to production or internal testing tracks.,Review times vary (hours to days); must comply with Play Store policies.,Generate signed AAB (not APK). Configure Play App Signing. Use internal → closed → open → production tracks.,play store publish release aab signing console,Google Play Console
publish_appstore,iOS,Apple App Store Publishing,Archive IPA and submit to App Store Connect via Xcode or CI.,When releasing iOS app to TestFlight or App Store.,Apple review is stricter (1-3 days); rejection requires resubmission.,Archive with Release scheme. Upload via Xcode or xcrun altool. Use TestFlight for beta.,app store publish archive testflight xcode connect,Apple App Store Connect
ci_fastlane,Automation,Fastlane CI/CD,Automate build; test; screenshot; and deployment for both platforms.,When team needs repeatable release process without manual Xcode/Gradle steps.,Ruby dependency; learning curve for Fastfile DSL; platform-specific lanes.,Android: fastlane supply for Play Store. iOS: fastlane deliver for App Store. Use match for iOS signing.,fastlane ci cd automate build deploy supply deliver,Fastlane Docs
ci_github_actions,CI,GitHub Actions for Mobile,Cloud-based CI/CD with macOS runners for iOS and Linux/macOS for Android.,When using GitHub for source control and want integrated CI/CD.,macOS runners are expensive (10x Linux); cache Gradle/CocoaPods aggressively.,Android: ubuntu-latest + setup-java + Gradle cache. iOS: macos-latest + xcodebuild. Use caching actions.,github actions ci cd mobile android ios runner,GitHub Actions Docs
ci_signing,Security,Code Signing & Provisioning,Manage certificates; provisioning profiles; and keystore for release builds.,Always for release builds; critical for CI/CD pipeline automation.,iOS signing is notoriously complex; use match or Xcode Cloud for simplification.,Android: upload keystore + Play App Signing. iOS: fastlane match or manual cert management. Never commit keystores.,signing certificate provisioning keystore match,Android Signing; Apple Code Signing
ci_version,Versioning,Semantic Versioning & Build Numbers,Manage versionName/versionCode (Android) and CFBundleVersion (iOS) systematically.,Always; to ensure unique versions for store submission and crash reporting.,Auto-incrementing build numbers in CI require careful state management.,Android: versionCode (integer; always increment) + versionName (semver). iOS: CFBundleShortVersionString + CFBundleVersion.,version code name semver build number bundle,Semantic Versioning
ci_flavor,Variants,Build Flavors / Schemes,Create variants for different environments (dev; staging; prod) or white-label apps.,When app needs different API endpoints; feature flags; or branding per environment.,Build matrix grows quickly; test all flavors before release.,Android: build flavors + buildConfigField. iOS: Xcode schemes + xcconfig files. Both: separate bundle IDs.,flavor scheme variant buildconfig xcconfig environment,Android Build Variants; Xcode Schemes
ci_test_distribution,Testing,Beta Distribution (TestFlight / Internal Testing),Distribute pre-release builds to testers before public release.,When QA team or stakeholders need to test before production rollout.,TestFlight requires Apple review for external testers; internal is instant.,Android: Play Console internal testing track (instant). iOS: TestFlight internal (instant) / external (review).,beta distribution testflight internal testing track,Google Play Internal Testing; Apple TestFlight
ci_crash_monitoring,Observability,Crash Reporting & Monitoring,Capture and aggregate crash reports with stack traces and device context.,Always for production apps to monitor stability and crash-free rate.,Must upload debug symbols (dSYMs / mapping.txt) for readable stack traces.,Firebase Crashlytics (both platforms). Sentry. Upload proguard mapping.txt (Android) and dSYMs (iOS) in CI.,crash reporting crashlytics sentry dsym mapping monitor,Firebase Crashlytics; Sentry
ci_feature_flags,Release,Feature Flags & Remote Config,Toggle features remotely without app update for gradual rollout.,When rolling out risky features; A/B testing; or kill-switch capability.,Increases code complexity; stale flags become tech debt.,Firebase Remote Config. LaunchDarkly. Custom: fetch config JSON from CDN. Cache with fallback defaults.,feature flag remote config toggle rollout ab test,Firebase Remote Config; LaunchDarkly
ci_size_monitoring,Quality,App Size Monitoring,Track APK/IPA size changes across builds to prevent bloat.,When app size exceeds 50MB or is growing rapidly between releases.,Must set thresholds; alert on regressions. Debug vs release size differs significantly.,Android: APK Analyzer + bundletool size report. iOS: App Thinning Size Report. Automate in CI with size diff check.,app size apk ipa bundle analyzer thinning monitor,Android APK Analyzer; Apple App Thinning
ci_supply_chain,Security,Dependency Security Scanning,Scan third-party dependencies for known vulnerabilities.,Always as part of CI pipeline; required for enterprise and regulated apps.,False positives require manual triage; some CVEs may not affect your usage.,Dependabot (GitHub). Snyk. OWASP Dependency-Check. Renovate for automated updates.,dependency security scan cve vulnerability supply chain,OWASP Dependency-Check; Snyk
ci_agp_9_upgrade,Gradle,AGP 9.x / Gradle 9.x Upgrade,Migration rules for bleeding-edge Android build tools (Meerkat+).,When upgrading project to AGP 9.1+ and Gradle 9.3+.,Built-in Kotlin feature makes org.jetbrains.kotlin.android redundant.,Remove kotlin-android plugin (Built-in Kotlin). Use android.disallowKotlinSourceSets=false for KSP.,agp 9 gradle 9 meerkat built-in kotlin ksp,Android Gradle Plugin Release Notes
ci_jdk_toolchain,Build,JDK Toolchain Management,Use Gradle Java Toolchain for consistent compile and runtime environments.,Always; to decouple build from runner's JDK version.,Older AGP version used kotlinOptions; AGP 9.x uses top-level kotlin block.,Use kotlin { jvmToolchain(17) } outside android block. Avoid kotlinOptions.jvmTarget.,jdk toolchain jvm target java version toolchain,Gradle Toolchain Docs
